NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
PID_ATM_PATHWAY%MSIGDB_C2%PID_ATM_PATHWAY	28	24		
BIOCARTA_ETS_PATHWAY%MSIGDB_C2%BIOCARTA_ETS_PATHWAY	14		Rejected!	
BIOCARTA_DICER_PATHWAY%MSIGDB_C2%BIOCARTA_DICER_PATHWAY	4		Rejected!	
BIOCARTA_CTLA4_PATHWAY%MSIGDB_C2%BIOCARTA_CTLA4_PATHWAY	19		Rejected!	
PID_INSULIN_GLUCOSE_PATHWAY%MSIGDB_C2%PID_INSULIN_GLUCOSE_PATHWAY	23		Rejected!	
BIOCARTA_RECK_PATHWAY%MSIGDB_C2%BIOCARTA_RECK_PATHWAY	8		Rejected!	
PID_SMAD2_3PATHWAY%MSIGDB_C2%PID_SMAD2_3PATHWAY	12		Rejected!	
BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	33	24		
BIOCARTA_HDAC_PATHWAY%MSIGDB_C2%BIOCARTA_HDAC_PATHWAY	19	17		
BIOCARTA_PML_PATHWAY%MSIGDB_C2%BIOCARTA_PML_PATHWAY	15		Rejected!	
PID_ALK2_PATHWAY%MSIGDB_C2%PID_ALK2_PATHWAY	11		Rejected!	
BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY	21	19		
PID_PI3KCI_PATHWAY%MSIGDB_C2%PID_PI3KCI_PATHWAY	40	26		
BIOCARTA_KREB_PATHWAY%MSIGDB_C2%BIOCARTA_KREB_PATHWAY	7		Rejected!	
PID_TAP63_PATHWAY%MSIGDB_C2%PID_TAP63_PATHWAY	46	38		
BIOCARTA_EFP_PATHWAY%MSIGDB_C2%BIOCARTA_EFP_PATHWAY	14		Rejected!	
BIOCARTA_BOTULIN_PATHWAY%MSIGDB_C2%BIOCARTA_BOTULIN_PATHWAY	5		Rejected!	
PID_PLK1_PATHWAY%MSIGDB_C2%PID_PLK1_PATHWAY	40	33		
PID_RB_1PATHWAY%MSIGDB_C2%PID_RB_1PATHWAY	58	52		
